,return_usd
1414,1.0479854388237198
1415,0.3671399937864965
1431,2.4911951688728746
1432,1.516642567779391
1438,-1.8220125123990758
1439,-1.9146052992269007
1440,1.8018088050810563
1441,1.290994181265566
1450,1.8714020968802516
1451,1.920182000482582
1463,0.2237833466015491
1470,2.381313090661149
1471,1.7834752496403574
1481,2.137049854300149
1482,1.1687911232893562
1483,0.23451860933571494
1484,-0.03822121282019774
1485,0.04879016416943205
1502,1.6278277775456915
1503,1.0147233046592823
1510,2.2474000249435773
1512,-0.8421113336999035
1513,1.978474139928576
1514,1.978474139928576
1515,1.9469667335304375
1516,1.2701818044362716
1517,0.451648703523757
1518,2.683805321597753
1519,1.6657237234446922
1520,0.8966184960766342
1551,0.7559341686587101
1555,0.8188542931826792
1556,0.7629996824587787
1557,0.8210565491819765
1560,2.6769997535774537
1561,1.8885382670545068
1562,2.1575361992892015
1563,1.6514815604317796
1582,1.8536382062739203
1589,1.6150620671843217
1590,1.1066796597458686
1591,0.8378966644461432
1597,2.5776909148813316
1601,2.119455209592146
1602,1.726402835750048
1603,1.0332556551901029
1604,0.8054932403914837
1636,4.1115637900541335
1637,3.594741836589689
1638,2.909564177266859
1649,1.6949548399568632
1659,0.15220593288933118
1660,-1.1548652302189082
1661,-1.305636458102436
1662,3.697512085499194
1663,2.3451176237127482
1664,1.6713981125568713
1665,1.4978804575719082
1666,0.19532004257961122
1679,1.1581382679821366
1680,0.5676406453202231
1681,0.44986469540484886
1692,0.3271431413326945
1693,-0.3509769228240947
1699,1.2738812565409032
1700,1.1428524346468332
1701,1.1444457050112817
1735,1.1886357913156982
1736,2.0275428008887
1740,1.2663840644473332
1741,2.4901760752807762
1742,2.573558347382563
1743,2.0527766729703463
1744,0.4207477316393212
1754,2.164517714034955
1762,1.146481393872298
1763,1.123890095852378
1764,0.532861050626603
1777,-0.5171790977381661
1780,1.303809089480947
1794,0.67985928623301
1795,0.44750236389922204
1804,-0.4054151093581228
1811,1.796249374500907
1812,1.9441657713699636
1813,0.7387895384386464
1814,1.578731251654938
1815,0.8855840710949928
1833,0.0
1841,1.0649176121440125
1842,0.8043754472456546
1843,0.6643360987058257
1844,0.12239460821360598
1850,2.694742039038471
1851,1.0437688402855778
1873,-0.04772073621141173
