,uuid,org_uuid,announced_on,money_raised_usd,num_investors,investment_type,lead_investor_rank,post_money_valuation_usd,prev_rounds,country_code,amount_delta,holding_time
259039,bf139ad0-ed5b-4410-afc8-1d6123dbb1aa,ef23ce54-7eb9-8420-61bc-5fc1cfd162fe,2948227200,120000000.0,10.0,series_d,1928.0,500000000.0,4.0,USA,50000000.0,861.0
297103,dc8b8259-3742-4fcc-b3de-79b93a8d5f88,ef23ce54-7eb9-8420-61bc-5fc1cfd162fe,2970604800,200000000.0,14.0,series_e,1928.0,1100000000.0,5.0,USA,80000000.0,259.0
351914,53b5f348-3ac0-44fd-96de-d835d82553d6,ef23ce54-7eb9-8420-61bc-5fc1cfd162fe,2993587200,267000000.0,4.0,other,1329.0,3000000000.0,6.0,USA,67000000.0,266.0
74062,347d224e-195c-0028-8969-f445f6bf5e70,ef25cdeb-ec17-5423-2275-1cbb59ba698f,2800224000,80000000.0,5.0,series_c,416.0,392200000.0,1.0,USA,43299989.0,482.0
190922,50aded3b-7e4e-4457-9b24-e98bbb3a8905,ef31feba-4361-4e36-9754-e905c685c08a,2908828800,150000.0,1.0,seed,105037.0,2150000.0,0.0,USA,150000.0,180.0
359001,98de8dbb-c460-4e1b-befe-07ebcf9ff860,ef3b3a32-911d-42c5-ae67-986a9497d485,2939932800,1500000.0,1.0,seed,540449.0,7500000.0,0.0,USA,1500000.0,1155.0
213516,e9bc4eb0-cd3c-468e-88b4-cccec078b04d,ef3bceef-6241-44e4-8c53-b4d50f586780,2890080000,100000.0,1.0,seed,718449.0,1700000.0,0.0,USA,100000.0,212.0
400239,febfb1e9-b7cf-4139-a181-4aeac80c26f4,ef3bceef-6241-44e4-8c53-b4d50f586780,2913667200,150000.0,2.0,pre_seed,2055412.0,3150000.0,1.0,USA,50000.0,273.0
412023,bac12c70-e02b-4b1c-af9a-8acf84d25c0e,ef3f2e0d-24ba-4a60-b71d-49caef6b748a,3006979200,897743.0,2.0,pre_seed,386181.0,3890221.0,1.0,NLD,449015.0,707.0
247449,ec0cf521-322f-4778-899a-d4b2a1e9567b,ef43d24f-ca65-4edc-98a0-86f71e0915c3,2929910400,1000000.0,4.0,seed,288471.0,2000000.0,0.0,BRA,1000000.0,558.0
75301,fd48a1a9-3e38-6a42-5750-349359220621,ef591f65-7f34-437d-d2c1-6d8f13488ef0,2802297600,4394125.0,1.0,series_b,480955.0,21091798.0,1.0,AUS,26596.0,19.0
259851,4d4033d0-ca3e-46d2-a242-624be55d807e,ef72ca0b-d40c-9ffe-c553-4c7794c4d60f,2948745600,25164358.0,6.0,other,10670.0,110164358.0,3.0,USA,24914358.0,870.0
475187,bb263b2f-ca68-404a-8ab6-5ff0f3c994b2,ef72ca0b-d40c-9ffe-c553-4c7794c4d60f,3038256000,150000000.0,4.0,series_c,548.0,1000000000.0,6.0,USA,85000000.0,344.0
409661,724f7575-0959-4102-8ebb-d8da12390a97,ef8c6f5f-cc64-9a6c-853f-ec0b62005134,2675203200,1500000.0,1.0,pre_seed,426791.0,4000000.0,0.0,USA,1500000.0,0.0
430680,e749e9be-3371-45e2-9a74-46b73e6769e9,efa3140c-8e6b-4282-8d32-e3c764b7ae3e,3021321600,225000000.0,8.0,series_b,2845.0,850000000.0,0.0,other,225000000.0,636.0
444946,387661a1-21f4-4c4f-a6c6-6040c3d12522,efa3140c-8e6b-4282-8d32-e3c764b7ae3e,3027542400,60000000.0,2.0,series_b,2845.0,1260000000.0,1.0,other,-165000000.0,72.0
247812,494d9b9c-7dc5-4d75-8ed6-1fbf52bf5da2,efa92a12-e4fc-4970-9578-c9e3ced44273,2941574400,70000000.0,9.0,series_b,310.0,370000000.0,1.0,BRA,52000000.0,443.0
290131,9eb1607e-94a3-4abb-a097-7194de093856,efa92a12-e4fc-4970-9578-c9e3ced44273,2966544000,175000000.0,8.0,series_c,310.0,1000000000.0,2.0,BRA,105000000.0,289.0
385841,6ea326d1-bd72-43c5-8b26-ea7799674fb3,efa92a12-e4fc-4970-9578-c9e3ced44273,3004992000,425000000.0,17.0,series_d,71148.0,2200000000.0,3.0,BRA,250000000.0,445.0
395635,1684b317-9a18-47f2-8acd-3776ee1c3730,efa92a12-e4fc-4970-9578-c9e3ced44273,3007584000,100000000.0,14.0,series_d,46050.0,2900000000.0,4.0,BRA,-325000000.0,30.0
378671,2c7fe388-b6d5-435a-975a-2c983ddcea50,efab4f6b-1a19-471b-daa6-67ec84d95b15,3003177600,229615853.0,8.0,series_b,74947.0,599615852.0,1.0,other,198027363.0,1521.0
411262,5a879ee2-be76-4c0a-8828-0b29956137eb,efab4f6b-1a19-471b-daa6-67ec84d95b15,3013632000,118458008.0,3.0,series_c,40730.0,1184580083.0,2.0,other,-111157845.0,121.0
376033,2c9cd632-1d3b-474e-9415-4b6169a7c87d,efb0065f-024f-4b24-b746-070e91245ad2,2979504000,373581.0,1.0,pre_seed,135225.0,2272616.0,0.0,other,373581.0,366.0
171055,63044d14-8bf6-121f-6375-df6ca5ccf03c,efb020d3-e71e-45c5-aff1-b7fb5c8327bd,2890252800,5000000.0,1.0,series_a,11808.0,25000000.0,0.0,USA,5000000.0,214.0
133260,06a0c661-9280-c179-6e3a-deaf9266963f,efb15b46-2ac1-1f5f-2db4-bf5337d013e4,2859840000,150000000.0,2.0,corporate_round,58299.0,2000000000.0,0.0,USA,150000000.0,12281.0
190569,3c669a18-73b1-471d-8f1a-0eee7aa1bef9,efb92073-8960-4376-9e49-6bab2d30276d,2906064000,15000000.0,1.0,other,10492.0,100000000.0,0.0,USA,15000000.0,246.0
461054,5168ec25-5f9b-430b-a35b-197dcb9a3a19,efc12797-ee21-d441-0e3e-cb672673a658,3036960000,1500000.0,3.0,seed,421279.0,9500000.0,0.0,USA,1500000.0,2004.0
40630,606ca2f8-c955-3368-7965-f29e019de858,efd5f1fa-5bec-1976-7e24-3d2e35aad7f4,2768428800,50000000.0,4.0,series_c,313185.0,800000000.0,0.0,USA,50000000.0,1361.0
46842,7771fc44-4f62-2e50-de99-245170973723,efd5f1fa-5bec-1976-7e24-3d2e35aad7f4,2775081600,50000000.0,6.0,series_c,174587.0,800000000.0,1.0,USA,0.0,77.0
225950,f3db906f-7a46-467d-a293-97d944b83078,efe81d73-563f-425d-a4f5-99753f4bf625,2926108800,1300000.0,1.0,corporate_round,282.0,14600000.0,0.0,IND,1300000.0,2454.0
425153,67430df7-180b-4a0d-9b40-44b5cb96ff41,effd7cee-2242-4fb4-9cc6-8bc9d9f4d195,3020025600,58926000.0,1.0,private_equity,108478.0,147314998.0,0.0,AUS,58926000.0,3908.0
249464,b56db276-514f-4f88-a094-df1589c7080a,effde256-cb2a-4d1c-b720-27489764d5f9,2929564800,202000.0,2.0,pre_seed,3143560.0,1972000.0,0.0,USA,202000.0,815.0
475265,57a2b504-c967-435d-8e1c-37fd5d0e325b,f003c9f0-3759-f965-5bc0-5661839ae020,3038256000,64872006.0,6.0,series_d,113346.0,699872005.0,6.0,IND,6259597.0,202.0
463958,4b78114d-4adc-4df7-8012-1e55b6091b05,f0165035-ebc3-4064-84d3-c411b4803947,3041971200,5110000.0,5.0,seed,92031.0,25110000.0,0.0,GBR,5110000.0,709.0
146072,b6a845c2-0d17-0f6c-bb5c-4eef347d09de,f020b4fc-f8f1-7a62-a736-e7252acb798d,2916345600,1630000.0,2.0,series_a,205784.0,17230000.0,0.0,SGP,1630000.0,1856.0
189718,790236ec-5280-4b7f-86ed-e3b285b789c0,f0235145-c608-52cb-75cb-a86cb1e107e9,2905632000,28000000.0,4.0,series_b,1928.0,100000000.0,0.0,GBR,28000000.0,2949.0
218299,71377421-6c00-4762-9a1b-4d238b568820,f025070e-9459-4020-8dd4-f01a635b78b6,2808604800,257611.0,1.0,seed,2304951.0,1030442.0,0.0,USA,257611.0,0.0
255001,1c6e7867-a4f2-418e-94ec-c973b024fcde,f0379bc7-9789-3667-366d-6d895597a3ac,2945635200,103850037.0,3.0,series_c,13442.0,403850037.0,3.0,other,85950037.0,523.0
